trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-628.1239083628418,"{0: 10, 1: 0, 2: 32, 3: 0, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-692.0838910848934,"{0: 13, 1: 0, 2: 26, 3: 0, 4: 11}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-584.1313697861062,"{0: 8, 1: 0, 2: 23, 3: 0, 4: 9}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-676.7902093172863,"{0: 17, 1: 0, 2: 34, 3: 0, 4: 9}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-750.520339389437,"{0: 10, 1: 0, 2: 28, 3: 0, 4: 12}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-355.1834846927889,"{0: 15, 1: 0, 2: 21, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-525.4306388524077,"{0: 16, 1: 0, 2: 14, 3: 0, 4: 10}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-362.59156235032935,"{0: 12, 1: 0, 2: 25, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-550.9352758945208,"{0: 8, 1: 0, 2: 24, 3: 0, 4: 8}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-480.6479336580513,"{0: 16, 1: 0, 2: 29, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-319.81807391244695,"{0: 13, 1: 0, 2: 25, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-599.6933923217156,"{0: 13, 1: 0, 2: 29, 3: 0, 4: 8}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-554.7559355207869,"{0: 12, 1: 0, 2: 32, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-593.4049556021477,"{0: 22, 1: 0, 2: 30, 3: 0, 4: 8}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-561.103201551163,"{0: 17, 1: 0, 2: 38, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-838.2375275363562,"{0: 16, 1: 0, 2: 30, 3: 0, 4: 14}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-324.4250081747926,"{0: 13, 1: 0, 2: 25, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-431.26178238802066,"{0: 9, 1: 0, 2: 27, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-374.8962324254943,"{0: 11, 1: 0, 2: 26, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-672.7592158980312,"{0: 15, 1: 0, 2: 24, 3: 0, 4: 11}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-465.8604755517085,"{0: 17, 1: 0, 2: 28, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-345.5213116056674,"{0: 14, 1: 0, 2: 23, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-435.9004961648906,"{0: 13, 1: 0, 2: 21, 3: 0, 4: 6}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",35,0,-748.6526190711095,"{0: 14, 1: 0, 2: 49, 3: 0, 4: 7}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,10,-209.50368760227892,"{0: 4, 1: 0, 2: 14, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",30,0,-538.7979880759276,"{0: 20, 1: 0, 2: 35, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,-384.12434069491945,"{0: 16, 1: 0, 2: 32, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-483.0926491842495,"{0: 18, 1: 0, 2: 26, 3: 0, 4: 6}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-303.83521038326063,"{0: 12, 1: 0, 2: 27, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,0,-422.3487995427875,"{0: 12, 1: 0, 2: 36, 3: 0, 4: 2}",0
