trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998001}",20,4,-47.17344019255627,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.997002999}",35,0,-210.14372000911865,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-86.64549794289009,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.995009990004999}",30,0,-159.29348673507297,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-134.96638101238472,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.993020965034979}",25,3,-56.132283482772486,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.992027944069944}",20,0,-81.90874210130069,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.991035916125874}",30,0,-217.70841409347085,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-102.33277984675358,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9890548353295384}",35,0,-146.80572907044177,"{0: 18, 1: 3, 2: 13, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-103.72912703467986,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,1,-117.12099667299141,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.986090636999001}",20,0,-143.6549559521714,"{0: 7, 1: 7, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-83.76984161979433,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9841194418156399}",25,0,-41.853610178783185,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9831353223738244}",25,0,-54.745942197120335,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
